Target,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB],CcdRow[1-7],Fov[FovP=preceding/FovF=following],scanAngle[rad],parallaxFactorAlongScan,CcdStrip[1-11],transitid,mjd,psi_deg,spsi_obs,cpsi_obs,ppfact_obs,theta,ref_epoch,centroidPosAl_mas,centroidPosAlError_mas,relative_time_year,source_id,sigma_da_mas,da_mas,strip
HD40503,2457598.7272944674,4,FoVF,2.978069899491855,-0.6095054629042502,5,33,57598.22729446739,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-69.96094114459285,0.16319281081863415,0.5742020382406285,2884087104955208064,0.16319281081863415,-69.96094114459285,5
HD40503,2457598.7273465507,4,FoVF,2.978069899491855,-0.6095054629042502,6,33,57598.22734655067,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-69.9417787506004,0.15997174403097422,0.5742021808368877,2884087104955208064,0.15997174403097422,-69.9417787506004,6
HD40503,2457598.7273986344,4,FoVF,2.978069899491855,-0.6095054629042502,7,33,57598.22739863442,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-70.20520366164544,0.11674840167897994,0.5742023234344218,2884087104955208064,0.11674840167897994,-70.20520366164544,7
HD40503,2457598.7274507177,4,FoVF,2.978069899491855,-0.6095054629042502,8,33,57598.227450717706,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-69.96793016434435,0.17952808302594525,0.574202466030681,2884087104955208064,0.17952808302594525,-69.96793016434435,8
HD40503,2457598.727502801,4,FoVF,2.978069899491855,-0.6095054629042502,9,33,57598.22750280099,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-70.10765771204345,0.1884673304085608,0.5742026086269402,2884087104955208064,0.1884673304085608,-70.10765771204345,9
HD40503,2457598.7275548843,4,FoVF,2.978069899491855,-0.6095054629042502,10,33,57598.22755488427,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-70.14247844792963,0.14636854817523265,0.5742027512231993,2884087104955208064,0.14636854817523265,-70.14247844792963,10
HD40503,2457598.727606968,4,FoVF,2.978069899491855,-0.6095054629042502,11,33,57598.22760696802,170.63083633583256,0.1627949698270778,-0.9866599200327338,-0.6095054629042502,170.63083633583256,2016.0,-69.80984721030377,0.15072473944626327,0.5742028938207334,2884087104955208064,0.15072473944626327,-69.80984721030377,11
HD40503,2457619.65244794,6,FoVP,1.8740210614550348,0.6736074796880437,1,34,57619.15244793985,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.43572662610553,0.6097210110190132,0.6314919861460654,2884087104955208064,0.6097210110190132,-65.43572662610553,1
HD40503,2457619.652500023,6,FoVP,1.8740210614550348,0.6736074796880437,3,34,57619.152500023134,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-64.92972041240289,0.15149025216381706,0.6314921287423245,2884087104955208064,0.15149025216381706,-64.92972041240289,3
HD40503,2457619.6525521064,6,FoVP,1.8740210614550348,0.6736074796880437,4,34,57619.15255210642,107.37349754000017,0.954378549297549,-0.29859937146736587,0.6736074796880437,107.37349754000017,2016.0,-65.3638765340683,0.10731592499371738,0.6314922713385838,2884087104955208064,0.10731592499371738,-65.3638765340683,4
